# extracted_at=2026-06-04T11:59:10Z source=poi_source_raw source_current_rows=8551
relation_record_id,member_record_ids
relation/1479185,way/14479824|way/52024703|way/171266673|way/171266671|way/14482614|way/52024698|way/206646062|way/206646063|way/14613088|way/14613084|way/171254743|way/171254740|way/52024717|way/171254745|way/171254741|way/40902133|way/171260504|way/171260503|way/50381263|way/171264029|way/171264032|way/40949619|way/171264033|way/171264031|way/14613743|way/14604276|way/490541235|way/14588757|way/1435806557|way/248398226|way/981002832|way/240549538|way/240549539|way/1210144646|way/1210144647|way/981002835|way/14613977|way/966154771|way/966154772|way/1123395649|way/1123395648|way/272837173|way/177346957|way/247968363|way/247968353|way/40917232|way/1352287605|way/177346950|way/14599718|way/40918560|way/700448898|way/700448897|way/700448896|way/700448895|way/247968355|way/247968362|way/177347108|way/177347109|way/1352287604|way/14600338|way/704261953|way/14614594|way/704261950|way/1435806555|way/726897847|way/1195662739|way/623085163|way/327132544|way/704421745|way/683330474|way/1014040331|way/1014040330|way/697521960|way/697521959|way/247968359|way/207592244|way/729397709|way/726897846|way/704421746|way/623085164|way/1208642828|way/1352286846|way/311318427|way/683330473|way/697521958|way/311318424|way/1014040332|way/1014040333|way/704421740|way/704421736|way/704421737|way/619375183|way/908507652|way/1198036108|way/619375185|way/1198036107|way/1198036106|way/1198036104|way/1198036103|way/1198036102|way/1198036101|way/1198036100|way/1198036099|way/1198036098|way/1198036097|way/14608074|way/700442476|way/104628418|way/700442472|way/908501467|way/700442474|way/725202014|way/908501469|way/284162891|way/284162892|way/104470521|way/908501461|way/907997187|way/284162881|way/284162882|way/908501471|way/908501472|way/104470414|way/908052384|way/104628410|way/768984379|way/1208641633|way/702162238|way/908275081|way/201365370|way/908501474|way/104628732|way/319637305|way/704419032|way/1082822620|way/704419034|way/319637304|way/704419027|way/704419026|way/458328978|way/458328980|way/704419031|way/704419028|way/704419025|way/319637303|way/104628408|way/907984160|way/104628457|way/704420061|way/104628452|way/1085003376|way/704420054|way/1310969845|way/907984169|way/174693731|way/864060741|way/1196470472|way/705359554|way/1523459746|way/908001965|way/907984172|way/1196470471|way/242547221|way/1312898138|way/699026800|way/425109376|way/104470398|way/425109379|way/425105084|way/247968346|way/1523459763|way/1523459760|way/1523459759|way/731236625|way/725653942|way/908010548|way/598933028|way/908010550|way/598933022|way/704422505|way/458008890|way/104470427|way/40952580|way/104470494|way/45056432|way/45056431|way/118709460|way/118709272|way/118709296|way/118709431|way/118709295|way/118709430|way/118709253|way/118709385|way/985400510|way/118709357|way/118709114|way/118709129|way/118709334|way/118709327|way/118709463|way/39168431|way/907984161|way/104628447|way/1085003370|way/704420059|way/1310969846|way/907984167|way/864060746|way/864060738|way/705359552|way/729415451|way/1523459748|way/699026798|way/908001963|way/1196468309|way/242547220|way/1312898139|way/425109382|way/907984176|way/908010541|way/247968345|way/425109378|way/425105088|way/1523459761|way/1523459756|way/731236626|way/908010542|way/458008887|way/598933016|way/704422508|way/598933019|way/1095689299|way/729419506|way/686508816|way/40952577|way/45056433|way/45056434|way/118709358|way/118709351|way/118709343|way/118709136|way/1379638587|way/118709181|way/1379638586|way/118709412|way/118709116|way/118709490|way/118709388|way/985400511|way/118709271|way/118709448|way/118709435|way/118709369|way/118709220|way/14612892|way/104470474|way/118709425|way/118709286|way/104470478|way/104470443|way/104470462|way/104470487|way/104470388|way/14570933|way/1300881247|way/598651546|way/598651545|way/1300881248|way/14584570|way/1300881252|way/699003135|way/1373932905|way/756559903|way/699129202|way/14589410|way/14585080|way/344587869|way/750466735|way/699129199|way/699129193|way/257372691|way/104448885|way/1373932911|way/14581755|way/1373932941|way/169303516|way/169303515|way/169303488|way/169303497|way/169303490|way/1384932180|way/706089027|way/706089025|way/169303492|way/48469009|way/1373284808|way/48469004|way/104448845|way/691417325|way/691417322|way/14404826|way/691417323|way/691417327|way/546924492|way/1373901837|way/546924493|way/38656143|way/173221202|way/173221199|way/590642123|way/445832235|way/445832246|way/445832249|way/200858167|way/200858171|way/173000798|way/200858173|way/840342497|way/840342498|way/377683891|way/377683896|way/1416884055|way/1416884057|way/1416891772|way/377683893|way/1469415953|way/1469415951|way/1410004091|way/680462687|way/680462684|way/680462688|way/1411438569|way/1411438568|way/1413407524|way/1331556885|way/173000811|way/704104562|way/1247590594|way/704104561|way/173000808|way/105138217|way/1479517576|way/546924482|way/14414653|way/104448918|way/14409939|way/583994244|way/545391297|way/1473398860|way/1473398859|way/172936654|way/545397379|way/42058060|way/963432953|way/172947943|way/172947946|way/42058059|way/14424959|way/172947948|way/1482400397|way/1482400395|way/545391296|way/545397381|way/14407566|way/172936664|way/963432952|way/172947947|way/172947945|way/172947949|way/172947944|way/172947941|way/1421537675|way/1421537674|way/1372535189|way/1421963415|way/14407772|way/1175249658|way/1175249660|way/1175249661|way/369264091|way/1175249662|way/369264071|way/545397386|way/14407766|way/369264087|way/545397384|way/369264068|way/369264078|way/369264080|way/369302951|way/706211106|way/861164638|way/861164639|way/1370809982|way/547108913|way/547108915|way/706211105|way/861164641|way/861164642|way/1370809981|way/367738036|way/1373284999|way/1430500957|way/1430500956|way/119424079|way/717612531|way/717612532|way/807091639|way/545397388|way/104448860|way/604266772|way/14422132|way/14410979|way/14417062|way/1373285000|way/1373285001|way/48387431|way/1373285003|way/1373285004|way/44139556|way/579960417|way/14419442|way/706242562|way/554742991|way/887889993|way/1373235068|way/554738421|way/706242536|way/887889994|way/554740023|way/887887929|way/887887928|way/887887927|way/887887926|way/1240653331|way/1240653329|way/554745758|way/554745759|way/554746428|way/554746429|way/706242573|way/706242538|way/572500253|way/554749194|way/1262811315|way/1262811316|way/353755749|way/556314581|way/548471429|way/554749196|way/554749994|way/1192079117|way/554749992|way/548471431|way/858749537|way/554749202|way/1051685531|way/1065945935|way/1059927168|way/706242558|way/706242559|way/14642982|way/887889991|way/706242535|way/554740563|way/887889990|way/887889989|way/554713101|way/887889988|way/706089020|way/14646657|way/14641845|way/353755752|way/14643752|way/548478193|way/706242539|way/706242537|way/14647221|way/14644123|way/634126156|way/1262811314|way/441618476|way/48390184|way/48390181|way/548471433|way/858749536|way/548471440|way/353755751|way/1065945934|way/1059927167|way/1055212734|way/759088783|way/238021692|way/238021691|way/598530110|way/598530111|way/598530075|way/598530076|way/598530046|way/1164768578|way/598530047|way/1164768577|way/245272384|way/245272385|way/1164768120|way/105244929|way/1164768121|way/1164768117|way/1164768118|way/105244930|way/104448892|way/1164766716|way/1164766717|way/1164766715|way/1164766719|way/595598026|way/595598027|way/322401559|way/322401558|way/104448915|way/48479361|way/48479359|way/50383356|way/104448919|way/48479360
relation/14877536,way/1112407208|way/1112407207|way/1112407216
relation/14877537,way/1112407210|way/1112407209|way/1112407211|way/1112407212|way/1112407213
relation/14877538,way/1112407215|way/1110915175|way/1112407214|way/1110685927|way/1110685921
relation/14877685,way/1220109972|way/1220109961|way/1220109957|way/1220109958|way/1220109963|way/1112417977|way/1112417976|way/1220109991|way/1220110000|way/1220109992|way/1220109994|way/1220110009|way/1220110006|way/1220110005
relation/14899552,way/1114809075|way/1114809074|way/1421091769
relation/14899553,way/1114809077|way/1114809076|way/1114809078|way/1421091760|way/1421091761
relation/14899554,way/1114809080|way/1114809079|way/1421091762|way/1421091764|way/1421091759|way/1421091761|way/1421091756|way/1421091754|way/1353570024|way/1421091766|way/1421091768|way/1421091771|way/1114809074|way/1421091770
relation/15408757,way/1136336495|way/1136336496|way/473220810|way/1136336497|way/1136336498|way/1136336499|way/1136336500|way/141165187
relation/15430073,way/1137769362
