# extracted_at=2026-06-04T11:59:10Z source=poi_source_raw source_current_rows=8551
relation_record_id,member_record_ids
relation/18928390,way/1373933207|way/1144972694|way/562779195|way/1373998306|way/1373998305|way/14602967|way/178267903|way/1476524469|way/14605440|way/1374033397|way/104470415|way/1374033398|way/1373998303|way/688073226|way/1374033399|way/696823972|way/696823973|way/178267880|way/696823969|way/696823968|way/14610240|way/344596424|way/1373998299|way/344596413|way/1161047109|way/451273471|way/1161047113|way/1161047108|way/1161047112|way/1161047107|way/1149979844|way/1149984305|way/1149979843|way/1149984306|way/1149979842|way/1373998288|way/914493146|way/1374033526|way/1373998287|way/1373998286|way/1149979850|way/993533637|way/993533640|way/993533641|way/1149979851|way/1149979852|way/1373998283|way/914493227|way/1373998282|way/1290045210|way/1290045209|way/682033742|way/682033741|way/914493229|way/1373998279|way/1149979857|way/914493240|way/914493241|way/914493242|way/914493243|way/1149979860|way/875901730|way/875901734|way/1149979861|way/1149979862|way/1290045196|way/1373998275|way/638973077|way/1373998272|way/1373998271|way/875901722|way/875901723|way/875901724|way/875901758|way/875901756|way/875901754|way/875901753|way/875901752|way/875901750|way/875901749|way/875901741|way/875901735|way/875901770|way/875901769|way/875901771|way/1149979867|way/807898527|way/807898529|way/1149979869|way/1306225389|way/1373998264|way/1362669302|way/1373998263|way/1362669300|way/1362669299|way/1373998262|way/1373998261|way/1362669307|way/1362669310|way/1362669308|way/1362669311|way/1362669309|way/1362669314|way/940157536|way/869909706|way/940187801|way/1373998260|way/778078712|way/778078707|way/778078713|way/1373998258|way/1161047116|way/1149965808|way/999273236|way/999273237|way/999273238|way/1150846321|way/1150846318|way/1150846322|way/1373998257|way/799255773|way/940157529|way/1034930562|way/1034930556|way/1034930553|way/1034930552|way/1034930545|way/1034930544|way/1034930542|way/1034930543|way/1025705703|way/1025705701|way/1025705705|way/1373998255|way/1025705718|way/1161047118|way/988955351|way/1373998253|way/1034334195|way/1034334196|way/1034334197|way/1034334198|way/1034334199|way/1034334200|way/1034334203|way/1034334206|way/1034334207|way/1034334208|way/1034334210|way/1034334211|way/796694132|way/1034334212|way/1034334213|way/1034334214|way/1034334215|way/1034334216|way/1034334222|way/1034334223|way/1034334224|way/1373998251|way/1034334228|way/1034334253|way/1034334255|way/1034334256|way/1034334259|way/1373998248|way/969446183|way/969446182|way/969446181|way/969446180|way/969446179|way/969446178|way/969446177|way/969446176|way/969446175|way/969446174|way/969446173|way/1020782345|way/969446165|way/969446164|way/969446163|way/969446961|way/969446962|way/969446963|way/969446964|way/969446965|way/1373998244|way/1373998243|way/1373998242|way/1373998240|way/634443213|way/1373998236|way/1373998237|way/1373998233|way/1373998235|way/1375155075|way/765614959|way/765614960|way/652589067|way/652589009|way/679172795|way/634443268|way/1373998231|way/713809675|way/691869755|way/691869754|way/691869753|way/691869752|way/1373998229|way/1149979814|way/1149979813|way/1149965830|way/1487772594|way/1487772593|way/714845169|way/714845170|way/714845172|way/1373998228|way/1314046535|way/1382702443|way/1304156991|way/1304156992|way/850611607|way/850611581|way/850611597|way/850611601|way/850611602|way/850611603|way/850611604|way/850020418|way/850020417|way/1373998223|way/1149940500|way/1373998222|way/1149940499|way/1149940505|way/965769678|way/1149965825|way/863364007|way/1373998220|way/1149965826|way/1373998219|way/1373998217|way/1149940502|way/1373998216|way/742341677|way/1373998215|way/682329234|way/682329233|way/1373998214|way/1224679319|way/1224679320|way/1365888007|way/1365888006|way/1365888008|way/1224679318|way/1373998213|way/804740866|way/689012722|way/1149940486|way/807614602|way/807614603|way/807614600|way/807614599|way/807614618|way/1149940485|way/691516353|way/691516352|way/691516350|way/691516349|way/691516348|way/691516347|way/691516346|way/691516345|way/691516344|way/691516343|way/1373998208|way/657497443|way/657497434|way/657497445|way/691516357|way/691516356|way/1149940566|way/1149940475|way/1007488895|way/1007488894|way/1373998202|way/463015092|way/463015093|way/703807181|way/1373998201|way/746588457|way/1373998200|way/1378816914|way/1378816913|way/720382562|way/770656576|way/804807973|way/463029770|way/1149940543|way/1164064058|way/766367882|way/1373998197|way/1136336501|way/473220814|way/244117286|way/14615497|way/583732688|way/583732689|way/14616191|way/14612326|way/14612322|way/1365866612|way/14604361|way/458432771|way/458432772|way/14608962|way/118709452|way/118709309|way/14600864|way/14606661|way/1374033611|way/118709169|way/1374033610|way/1374033609|way/1374033608|way/1374033605|way/1374033604|way/1374033603|way/479001104|way/1374033602|way/766367885|way/479001103|way/1149940542|way/1374033600|way/1374033601|way/1149940537|way/1149940538|way/1149940529|way/463015101|way/463015108|way/807649114|way/1317022599|way/1317022600|way/1374033592|way/761070744|way/1149940524|way/1149940525|way/960902045|way/1149940523|way/1149940522|way/960902044|way/987873919|way/987873918|way/1149940520|way/1374033589|way/960792745|way/1374033587|way/960792746|way/1374033586|way/1374033582|way/1374033580|way/960788933|way/960788931|way/960788932|way/960581063|way/1374033577|way/960581062|way/1374033573|way/1374033574|way/1374033576|way/1374033575|way/1374033572|way/1374033570|way/1374033571|way/1374033569|way/762121822|way/474078659|way/1374033567|way/714845146|way/1374033564|way/1374033563|way/1374033561|way/1353062696|way/1353062454|way/786004396|way/786004394|way/786004393|way/786004391|way/786004390|way/786004389|way/786004388|way/786004387|way/786004386|way/1374033558|way/786004384|way/1353062466|way/1374033556|way/1374033557|way/786004401|way/1353852203|way/1353852213|way/1353852204|way/1353852209|way/1353852206|way/1353852208|way/1353852207|way/1353852212|way/1353852210|way/1353852211|way/786004374|way/786004372|way/1374033555|way/1149957208|way/1374033551|way/633578160|way/1374033550|way/676698307|way/676698308|way/1149957210|way/700003101|way/1149957211|way/1374033547|way/1219311630|way/1219311631|way/1149957212|way/819972539|way/1149957213|way/1149965819|way/1374033543|way/1254179550|way/1374033542|way/1254179545|way/1254179544|way/1254179549|way/1254179546|way/1254179548|way/1254179547|way/1254179555|way/1254179554|way/1374033540|way/1374033541|way/1458660344|way/968327602|way/1458660343|way/1458660342|way/1458660340|way/1458660339|way/1458660338|way/1458660337|way/1458660341|way/968327601|way/968327599|way/1374033539|way/1458660396|way/1458660395|way/819972553|way/819972552|way/1374033537|way/1374033534|way/1458660416|way/1458660419|way/1374033535|way/1374033536|way/1282729703|way/1282729704|way/1262418911|way/1374033532|way/819972567|way/1374033530|way/1374033529|way/105203291|way/178267868|way/1374033585|way/960793654|way/1374033583|way/960904000|way/960903998|way/960903997|way/1149940521|way/1221645170|way/1036704643|way/1374033524|way/1374033525|way/1370255061|way/1370255062|way/1370255059|way/1370255060|way/1149940477|way/1374033521|way/1374033520|way/1370255057|way/1370255054|way/1370255056|way/1370255055|way/1374033518|way/804740892|way/804740891|way/804740889|way/804740887|way/1374033516|way/757207354|way/762716421|way/719038016|way/719038021|way/719038023|way/719038024|way/1374033514|way/1374033513|way/1196526520|way/1150007514|way/1150007511|way/1374033510|way/693438745|way/693438746|way/1374033507|way/1374033505|way/1374033506|way/1280748683|way/1280748684|way/474225815|way/727139763|way/1374033502|way/1150007482|way/1134313301|way/1134313300|way/943094767|way/943094765|way/1374033497|way/943094729|way/943094731|way/943094732|way/943094733|way/943094734|way/1374033496|way/943094739|way/943094740|way/943094741|way/943094742|way/943094743|way/943094744|way/1374033494|way/1374033493|way/400685197|way/1374033492|way/1374033490|way/808966718|way/808966720|way/808966721|way/808966709|way/808966707|way/1374033489|way/776692796|way/894123795|way/894123796|way/1374033487|way/1032591551|way/1374033486|way/894123745|way/1374033484|way/1374033483|way/1374033480|way/1374033479|way/1374033478|way/1374033475|way/1374033466|way/1374033472|way/1374033470|way/1374033467|way/1374033469|way/1374033465|way/1374033464|way/864520533|way/1374033461|way/864520523|way/1374033459|way/1374033458|way/1374033456|way/894123766|way/1374033455|way/598933651|way/864520522|way/864520524|way/864520518|way/476054841|way/1374033452|way/1374033451|way/287336629|way/1374033440|way/1290099081|way/1303642930|way/1290099083|way/1374033438|way/1336995852|way/1336995853|way/1374033437|way/1374033436|way/1374033435|way/325520170|way/1374033434|way/1374033433|way/1000982545|way/1374033432|way/1178203776|way/1374033431|way/1374033430|way/1178312890|way/1180072267|way/778171349|way/1178181669|way/778171348|way/1374033429|way/1178179569|way/778171341|way/778171339|way/778171338|way/1374033427|way/778171337|way/1374033425|way/1374033424|way/1374033420|way/1374033423|way/778171317|way/778171316|way/778171315|way/1374033422|way/778171306|way/778171312|way/778171309|way/598933034|way/598933472|way/689553123|way/598933487|way/689553127|way/689553128|way/689553129|way/689553130|way/689553131|way/689553132|way/429157022|way/1335284411|way/1335284406|way/1335284409|way/1335284408|way/1335284407|way/1335284403|way/778171300|way/1281347575|way/598933635|way/598933629|way/1374033402|way/598933603|way/687879343|way/689569597
relation/18934145,way/1310973903|way/1310973904|way/1374315288|way/667347262|way/726784006|way/726784008|way/726784002|way/726784001|way/667596875|way/1374033388|way/1374033380|way/679136024|way/673998054|way/1374315287|way/859169548|way/14605509|way/14599912|way/1019223634|way/540366058|way/1374315283|way/1064989717|way/1064989716|way/1374315280|way/1208636452|way/1208636454|way/14612386|way/14608685|way/1461471116|way/1461471117|way/1461471115|way/14605721|way/274861134|way/696059750|way/1374315278|way/1374315277|way/14612425|way/439109109|way/666828259|way/1094442316|way/666828555|way/14615728|way/1073001400|way/1374315273|way/1073001398|way/1374315276|way/1084578679|way/1374315271|way/1092784154|way/1092784151|way/1208636450|way/1208636449|way/14600596
relation/18987922,way/259307300|way/1377328979
relation/18988007,way/1377151231|way/1377151217|way/1377151220|way/1377151215|way/1377151228|way/1383656168|way/1377151237|way/1377151235|way/1383656167|way/1383656166
relation/18988050,way/1377335542|way/1377335543
relation/18988619,way/696049505|way/1377375157
relation/18988624,way/696049504|way/1377375160
relation/18988753,way/1377381129|way/1377381128
relation/19001060,way/721097682|way/1378298432|way/1378298433|way/1378298428|way/1378298426|way/1378298431|way/1378298440|way/1378298439|way/1378298435|way/1378298438|way/1378298437|way/1378298443|way/1378298442|way/1378298448|way/1378298445|way/1378298455|way/1379206370|way/1378298458|way/1379206374|way/1378298457|way/1378298454|way/1137982698|way/1378298453|way/1137973725|way/1378298444|way/1378758659|way/1378758658|way/1378758671|way/1378298429|way/1378758661|way/1378758670|way/1378758663|way/1378758666|way/1378758665|way/1378758672|way/721097686|way/1378758673|way/1378758684|way/1378758683|way/1378758680|way/721097683|way/1378758677|way/1378758685|way/1378758678|way/1378758681|way/1378758690|way/1378758688|way/1378758689|way/1379206354|way/1379206352|way/1379206357|way/1379206349|way/1379206356|way/1379206355|way/1379206353|way/1379206367
relation/19001061,way/1378298432|way/1378298434|way/1378298439|way/1378298441|way/1378298443|way/1378298446|way/1378298435|way/1378298436|way/1378298431|way/1378298449|way/1379206357|way/1378298450|way/1378298445|way/1378298444|way/1137973724|way/1378298458|way/1378298456|way/1378758678|way/1378758681|way/1378758690|way/1378758688|way/1378758689|way/1379206347|way/1378298451|way/1379206356|way/1379206369|way/1379206353|way/1379206368|way/1379206354|way/1379206366|way/1379206350|way/1379206359|way/1379206351|way/1379206375|way/1378298457|way/1379206373
relation/19001063,way/1137770570|way/1379206347|way/1378298451|way/1378298449|way/1379206348
relation/19010302,way/1378758670|way/1378758668|way/1378758669|way/1378758665|way/1378758667|way/1378758680|way/1378758679|way/1378758674|way/1378758684|way/1378758682
relation/19014011,way/1379001792|way/1379001794|way/1379026017|way/1379026018|way/1379026016|way/1379026023|way/734318915|way/1379026024|way/1379026027|way/704429127|way/1379026028|way/1379026038|way/1379001797|way/1379026029|way/1379026032|way/1379026031|way/1379026033|way/1379026034|way/1379026035|way/1379026036|way/1379026051|way/1379026050|way/1379026046|way/1379026039|way/1379026047|way/1379026043|way/1379026044|way/1379026041|way/1379026048|way/1379026054|way/1379026063|way/1379026068|way/1379026064|way/1379026067|way/1379026070|way/1379026069|way/1379209899|way/1379209900|way/1379001800|way/1379209898|way/1379001803|way/1379209904|way/1379209915|way/1379209914|way/1379209911|way/1379209912|way/1379209909
relation/19014179,way/1379026016|way/1379026019|way/1379026027|way/1379026026|way/1379026022|way/1379026041|way/1379026040|way/1379026042|way/1379026043|way/1379026039|way/1379026045|way/1379026052|way/1379026050|way/1379026049|way/1379026053|way/1379026054|way/1379026055|way/1379026066|way/1379026068|way/1379026057|way/1379026058|way/1379209909|way/1379209907|way/1379209905|way/1379209911|way/1379209910|way/1379209915|way/1379209913
relation/19014180,way/1379026055|way/1379026066|way/1379026064|way/1379026065
relation/19017308,way/1379206360|way/1137770571|way/1379206345
relation/19017309,way/1379206351|way/1379206346|way/1379206345
relation/19017310,way/1137770572|way/1379206360|way/1379206361
relation/19017311,way/1379206346|way/1379206359|way/1379206358|way/1379206364|way/1379206362|way/1137770572
relation/19017312,way/1379206363|way/1379206364|way/1378298455|way/1379206365|way/1379206366|way/1379206352|way/1379206368|way/1379206367|way/1379206369|way/1379206355|way/1378298450
relation/19017332,way/1379209889|way/1379209891|way/1379209890|way/1379209892|way/1379209894|way/1379209895|way/1379209896|way/1379209893
relation/19017853,way/1379244260|way/1379244263|way/1379244259|way/1379244262
relation/19017854,way/1379244267|way/1379244261|way/1379244262|way/1379244258|way/1379244264|way/1379244268|way/1379244269|way/1379236184|way/1379244272
relation/19017855,way/1379244261|way/1379244266|way/1379244259|way/1379244275|way/1379244284|way/1379244276|way/1379244277|way/1379236183|way/1379244265|way/1379244258|way/1379244260|way/1379244273|way/1379244270|way/1379244268|way/1379244271|way/1379236186|way/1379244280|way/1379236185|way/1379244281|way/1379244286|way/1379244285
relation/19024710,way/1380202434|way/1380202422|way/1380202423|way/1380202424|way/1380202429|way/1380202425|way/1380202426|way/1380202427|way/1380202430|way/1380202431|way/1380202428|way/1380202432|way/1380202436|way/1380202435|way/1380202440|way/1380202438|way/1380202437|way/1380202439|way/1380202433|way/1380202441|way/1380202443|way/1380202445|way/1380202444|way/1380202446|way/1380202442|way/1380202447|way/1380202448|way/1380202449|way/1380202450|way/1380202451|way/1380202452|way/1380202453|way/1380202454|way/1380202458|way/1380202461|way/1380202462|way/1380202456|way/1380202506|way/1380202504|way/1380202459|way/1380202463|way/1380202460|way/1380202549|way/1380202469|way/1380202465|way/1380202466|way/1380202471|way/1380202472|way/1380202470|way/1380202475|way/1380202478|way/1380202477|way/1380202480|way/1380202481|way/1380202547|way/1380202488|way/1380202484|way/1380202487|way/1380202490|way/1380202491|way/1380202489|way/1380202492|way/1380202493|way/1380202496|way/1380202495|way/1380202500|way/1380202502|way/1380202498|way/1380202501|way/1380202510|way/1380202516|way/1380202505|way/1380202507|way/1380202511|way/1380202508|way/1380202513|way/1380202517|way/1380202524|way/1380202518|way/1380202533|way/1380202526|way/1380202527|way/1380202523|way/1380202522|way/1380202521|way/1380202528|way/1380202529|way/1380202531|way/1380202537|way/1380202536|way/1380202419|way/1167463333|way/1167463334|way/1138189261|way/1380202540|way/1138169372|way/1138189258|way/1138189260|way/1380202541|way/1380202548|way/1380202543|way/1138189264|way/1380202545
relation/19024711,way/1380202434|way/1380202422|way/1380202423|way/1380202424|way/1380202429|way/1380202425|way/1380202426|way/1380202427|way/1380202430|way/1380202431|way/1380202428|way/1380202432|way/1380202436|way/1380202435|way/1380202440|way/1380202438|way/1380202437|way/1380202439|way/1380202433|way/1380202441|way/1380202443|way/1380202445|way/1380202444|way/1380202446|way/1380202442|way/1380202447|way/1380202448|way/1380202449|way/1380202450|way/1380202451|way/1380202452|way/1380202453|way/1380202454|way/1380202455|way/1380202462|way/1380202463|way/1380202461|way/1380202457|way/1380202467|way/1380202466|way/1380202464|way/1380202468|way/1380202469|way/1380202474|way/1380202472|way/1380202473|way/1380202475|way/1380202476|way/1380202478|way/1380202479|way/1380202481|way/1380202482|way/1380202493|way/1380202491|way/1380202483|way/1380202488|way/1380202486|way/1380202487|way/1380202485|way/1380202496|way/1380202494|way/1380202501|way/1380202497|way/1380202502|way/1380202499|way/1380202506|way/1380202505|way/1380202503|way/1380202504|way/1380202507|way/1380202513|way/1380202512|way/1380202509|way/1380202521|way/1380202519|way/1380202522|way/1380202523|way/1380202524|way/1380202534|way/1380202525|way/1380202526|way/1380202535|way/1380202531|way/1380202540|way/1380202538|way/1380202539|way/1380202547|way/1380202542|way/1380202546
relation/19045990,way/1381615437|way/1381615434|way/1381615435|way/1381615442|way/1381615440|way/1381615441|way/1381615447|way/1381615446
relation/19045991,way/1381615339|way/1381615340|way/1381615341|way/1381615342|way/1381615343|way/1381615344|way/1381615350|way/1381615345|way/1381615347|way/1381615346|way/1381615349|way/1381615348|way/1381615351|way/1381615352|way/1381615354|way/1381615353|way/1381615357|way/1381615356|way/1381615359|way/1381615358|way/1381615360|way/1381615355|way/1381615361|way/1381615363|way/1381615371|way/1381615366|way/1381615364|way/1381615362|way/1381615365|way/1381615367|way/1381615368|way/1381615370|way/1381615369|way/1381615372|way/1381615373|way/1381615374|way/1381615375|way/1381615377|way/1381615376|way/1381615379|way/1381615378|way/1381615380|way/1381615387|way/1381615386|way/1381615383|way/1381615382|way/1381615381|way/1381615384|way/1381615385|way/1381615392|way/1381615393|way/1381615391|way/1381615390|way/1381615396|way/1381615459|way/1381615395|way/1381615397|way/1381615398|way/1381615399|way/1381615400|way/1381615402|way/1381615401|way/1381615405|way/1381615403|way/1381615408|way/1381615409|way/1381615410|way/1381615411|way/1381615412|way/1381615475|way/1381615414|way/1381615415|way/1381615422|way/1381615423|way/1381615424|way/1381615449|way/1381615428|way/1381615427|way/1381615426|way/1381615430|way/1381615429|way/1381615431|way/1381615416|way/1381615419|way/1381615418|way/1381615425|way/1381615388|way/1381615421|way/1381615452|way/1381615451|way/1381615455|way/1381615453|way/1381615458|way/1381615457|way/1381615466|way/1381615460|way/1381615469|way/1381615467|way/1381615472|way/1381615470|way/1381615448|way/1381615441|way/1381615444|way/1381615433|way/1381615439|way/1381615432|way/1381615438|way/1381615434|way/1381615462|way/1381615463|way/1381615465|way/1137769363
relation/19045992,way/1381615339|way/1381615340|way/1381615341|way/1381615342|way/1381615343|way/1381615344|way/1381615350|way/1381615345|way/1381615347|way/1381615346|way/1381615349|way/1381615348|way/1381615351|way/1381615352|way/1381615354|way/1381615353|way/1381615357|way/1381615356|way/1381615359|way/1381615358|way/1381615360|way/1381615355|way/1381615361|way/1381615363|way/1381615371|way/1381615366|way/1381615364|way/1381615362|way/1381615365|way/1381615367|way/1381615368|way/1381615370|way/1381615369|way/1381615372|way/1381615373|way/1381615374|way/1381615375|way/1381615377|way/1381615376|way/1381615378|way/1381615379|way/1381615380|way/1381615387|way/1381615386|way/1381615383|way/1381615382|way/1381615381|way/1381615384|way/1381615385|way/1381615389|way/1381615390|way/1381615392|way/1381615393|way/1381615391|way/1381615397|way/1381615394|way/1381615396|way/1381615398|way/1381615399|way/1381615400|way/1381615407|way/1381615402|way/1381615405|way/1381615404|way/1381615408|way/1381615406|way/1381615409|way/1381615410|way/1381615411|way/1381615412|way/1381615413|way/1381615415|way/1381615417|way/1381615419|way/1381615425|way/1381615420|way/1381615422|way/1381615423|way/1381615424|way/1381615426|way/1381615427|way/1381615428|way/1381615429|way/1381615430|way/1381615431|way/1381615438|way/1381615436|way/1381615437|way/1381615439|way/1381615444|way/1381615445|way/1381615446|way/1381615443|way/1381615440|way/1381615449|way/1381615452|way/1381615450|way/1381615455|way/1381615454|way/1381615474|way/1381615456|way/1381615458|way/1381615462|way/1381615466|way/1381615464|way/1381615461|way/1381615465|way/1381615469|way/1381615468|way/1381615471|way/1381615472
relation/19045993,way/1381615473|way/1137769363|way/1381615464|way/1381615460|way/1381615468|way/1381615467|way/1381615471|way/1381615470
relation/19083457,way/1383656166|way/1383656167|way/1383656169
relation/19442686,way/1421091756|way/475151354|way/1421091755
relation/19442687,way/1421091764|way/865480907|way/1421091770|way/1421091763
relation/6642728,way/443115488|way/447241036
relation/6819957,way/1516627262|way/1516627261|way/1516627263|way/703307638|way/703307637|way/1516627264|way/461697040
relation/6819995,way/461700349|way/461700348
relation/6930417,way/470460406|way/470460405
relation/6963309,way/435625157|way/473587707|way/473587711
relation/6971566,way/474187957|way/474187959|way/474187960|way/686516978
relation/6979381,way/474512302|way/474512303
relation/6986975,way/475151356|way/475151357
relation/6991590,way/136484729|way/475540282
relation/6991591,way/475540275|way/477377905|way/475540281
relation/7147455,way/485742255|way/485742256|way/774514834
